v,J_theta,T_s,T_p,J_TIR_s,J_TIR_p
1.0,1.5360000000000003,0.9995835068721367,0.7933884297520659,1.5353602665556023,1.2186446280991734
0.8908217149280735,1.7242507386834633,0.9986029549502038,0.8339441581399035,1.7218418827243782,1.4379288306934876
0.7935633277873938,1.935573313704732,0.9909914449137908,0.8717026032489316,1.9181365948848264,1.6872442963355756
0.7069234445635951,2.1727953879761603,0.9769499156016048,0.905879810261557,2.122712270902866,1.96829147379703
0.6297427552090027,2.4390911801601014,0.9568430248227987,0.9357173285748863,2.333827382643001,2.282299883249977
0.5609885211588138,2.738023938220947,0.9311793283849178,0.9605150822912346,2.549591291894409,2.629913288335663
0.49974075647365834,3.073593618496401,0.9005846213517809,0.9796643516630297,2.768031145102831,3.011090099539902
0.4451799177013171,3.4502904082716124,0.8657707725629153,0.9926783755856166,2.9871605923357305,3.425028677781698
0.3965759377382259,3.8731548080304656,0.8275025965769739,0.9992180445520981,3.2050456605898012,3.870126173527759
0.3532784569551753,4.34784507733199,0.7865652196962836,0.9991104171131161,3.4198637184570417,4.343977308756373
0.3147081208719529,4.880712946790977,0.7437340567039569,0.9923583532007659,3.629952439524377,4.843416262323151
0.2803488279369445,5.478888609248883,0.6997490023215583,0.9791403537909046,3.8338468381528563,5.364600931240909
0.24974082368086428,6.150376127383983,0.6552938485104133,0.959800622181557,4.030303642300022,5.903134833713742
0.22247454883893714,6.904160534389955,0.6109813521414211,0.934830285771415,4.218313338703011,6.454218365375486
0.19818515912455145,7.750328060814511,0.5673438648245315,0.904841507187752,4.3971010756805216,7.01281852374693
0.17654764332462605,8.700201096288147,0.52482903993666,0.870536765034148,4.566118188620785,7.5738449175092315
0.15727247439295322,9.766489692037442,0.483799867595575,0.8326758381767785,4.725026419881263,8.132319990362145
0.1401017353497121,10.963461631406243,0.44453815173914696,0.7920429774511524,4.873676970288384,8.68353279371047
0.12480566814862963,12.307133344062512,0.40725051532300843,0.7494164376204058,5.012086396518438,9.22316802802664
0.11117959933290632,13.815484218473735,0.37207607322872893,0.7055420471858448,5.140411117763183,9.74740501836569
0.0990412013427557,15.508697180321006,0.3390950195698542,0.6611119060599694,5.258921973863894,10.252984353388893
0.08822805282869021,17.409428755980887,0.30833751118788044,0.6167487093499857,5.367979933821864,10.737242715771739
0.07859546532561851,19.543112234737734,0.27979237178406496,0.5729956701408516,5.468013724199449,11.198118691581424
0.07001454720693742,21.93829798627627,0.2534152767112834,0.5303116007896412,5.559499854766792,11.634133923702333
0.062370479012796534,24.627035487171096,0.22913619786196288,0.48907043050607046,5.642945276142018,12.044354847799042
0.05556097707506484,27.645302168189197,0.20686598685116767,0.44956428456175945,5.718872714821184,12.428340490735634
0.04949492488108862,31.03348482072121,0.18650205176885779,0.41200920956767045,5.787808592602209,12.786081551115645
