half_width,sv1,sv2,sv3,sv4,sv5,condition_number,cos_angle_A_B
60.0,1.8217381014583551,1.0051736697546594,0.7332080634707004,0.3636451816235422,0.03262362442134263,55.841070199010744,0.9954563617141392
67.9075674691672,1.7933999402919594,1.0049639580607186,0.7513667304259596,0.45527174642213636,0.04404282550508894,40.71945702222807,0.9948943120260317
76.85729532632492,1.7590334043916136,1.0047811132615023,0.7700323452892452,0.5477495631018554,0.056894639444297984,30.917383809309033,0.9942183461585498
86.98653279783531,1.720628041254553,1.004759407140474,0.7879012382046323,0.6355060280194672,0.07239754552311899,23.766386399178383,0.9930934726848293
98.45073074796544,1.6782149834793851,1.0050092774280661,0.8092251846689892,0.7144045487945162,0.09127739406856003,18.38587747387758,0.9907767503876022
111.42582734427127,1.6326178917810306,1.0057962506702494,0.849800890475329,0.7667030897502608,0.11374330876528814,14.353529095500239,0.986049046719049
126.11094813648128,1.586600725785485,1.0079507717539449,0.9100248182547047,0.7868866641859916,0.13927521870143902,11.391837977915104,0.9776555964340783
142.73146198631247,1.5453927122646343,1.0144563458129188,0.9603574130312742,0.7954585592614095,0.16612948881188191,9.302338334493838,0.965696239543863
161.54243974680645,1.515595536456284,1.0284259290093831,0.9830953129356607,0.8017682116156924,0.1897409258475434,7.987710240615476,0.953841658941919
182.83256877066893,1.5005540036916218,1.037791022872577,0.9884122189236435,0.8087424456373236,0.2007595999127653,7.474382317675705,0.9492883681528187
206.92858332258922,1.4670249110621658,1.0667644064298496,0.9946541484604012,0.8088675100374307,0.2573870386281641,5.699684486371955,0.9179047109540569
234.2002788879652,1.4057546951535114,1.1329934079229784,0.999105955680345,0.7741736075325629,0.3776535308732265,3.7223396055719795,0.7916730170464051
265.06618733137117,1.4770017221245402,1.0872367307417745,0.9997619384018342,0.7010026746346407,0.38138369242164594,3.8727448275151026,0.7670063496448275
300.0,1.489162668990669,1.0685801726307862,0.9998402917003659,0.6787394017934024,0.42445632930915533,3.508400196115413,0.7666551369790838
