d_nm,condition_number
300.0,10.496017361990972
301.417372934939,9.960105504580154
302.834745869878,9.477641894872749
304.25211880481703,9.079546552658611
305.66949173975604,8.775775858600449
307.08686467469505,8.564100688679344
308.50423760963406,8.43663267406386
309.9216105445731,8.383683293553021
311.33898347951214,8.39571709421112
312.75635641445115,8.464187561306519
314.17372934939016,8.581791432261099
315.59110228432917,8.742450610587985
317.0084752192682,8.941184433713493
318.4258481542072,9.173952133433797
319.8432210891462,9.437501611041057
321.2605940240852,9.72923875054602
322.6779669590242,10.047121089734746
324.0953398939632,10.389575105539535
325.5127128289023,10.755434678274757
326.9300857638413,11.143897961585115
328.3474586987803,11.554500146380134
329.7648316337193,11.987100105919586
331.18220456865834,12.441879484012535
332.59957750359735,12.919353376520425
334.01695043853636,13.4203923419279
335.43432337347537,13.946256062789274
336.8516963084144,14.498639575302317
338.2690692433534,15.079733597537022
339.6864421782924,15.692301122630381
341.10381511323146,16.33977309860098
342.5211880481705,17.026366672458916
343.9385609831095,17.757230079482444
345.3559339180485,18.53861868193314
346.7733068529875,19.378106627539598
348.1906797879265,20.284837529201198
349.6080527228655,21.2698142990714
351.02542565780453,22.346220503427418
352.44279859274354,23.529748866873465
353.86017152768255,24.83887825461129
355.27754446262156,26.294972357598258
356.69491739756063,27.92194148181525
358.1122903324996,29.744960893751674
359.52966326743865,31.787292650711752
360.94703620237766,34.06351573967654
362.36440913731667,36.56643666423687
363.7817820722557,39.244167829342956
365.1991550071947,41.96551055185354
366.6165279421337,44.48123852390543
368.0339008770727,46.41224515736029
369.4512738120117,47.32092583648959
370.86864674695073,46.892344536736665
372.2860196818898,45.12455010679663
373.70339261682875,42.3466708656947
375.1207655517678,39.038499179114424
376.5381384867068,35.62499749798758
377.95551142164584,32.38278932178014
379.37288435658485,29.448870225306802
380.79025729152386,26.866743988260595
382.20763022646287,24.62903867490501
383.6250031614019,22.705502334841338
385.0423760963409,21.058483328698593
386.4597490312799,19.650481427176256
387.8771219662189,18.44733453976323
389.2944949011579,17.41921112623497
390.711867836097,16.540589093930475
392.12924077103594,15.789821810546222
393.546613705975,15.14858032929756
394.963986640914,14.60130204849217
396.381359575853,14.134698195417542
397.79873251079204,13.737336088939653
399.21610544573105,13.399296248446097
400.63347838067006,13.111898402702268
402.05085131560907,12.867488924164235
403.4682242505481,12.659282485211634
404.8855971854871,12.481251488192417
406.30297012042615,12.328057454568434
407.7203430553651,12.195018842826158
409.1377159903042,12.078109689827006
410.5550889252432,11.973983156215263
411.9724618601822,11.880013700157857
413.3898347951212,11.794351433810991
414.8072077300602,11.715982449487269
416.2245806649992,11.644789693031665
417.64195359993823,11.58161035536301
419.05932653487724,11.528287631701726
