separation_nm,sigma_max,sigma_min,condition_number
100.0,1.0120672118159943,0.9877813295415501,1.024586294099845
85.5467253556568,1.046660138222216,0.9510525317735623,1.100528207700957
73.18242219076176,1.1138467020216793,0.8714041198037975,1.2782206059256058
62.60516572014821,1.1999469951209023,0.7484163982924743,1.6033146759726313
53.55666917706898,1.2807443439695594,0.5997448571116607,2.1354819950229436
45.815976690544915,1.3407217234016064,0.44996138672845576,2.9796372821001857
39.19406774847219,1.3777963423591684,0.31886867974926764,4.320889538108776
33.52924149249557,1.3976102823302463,0.21606826951242117,6.468373563059899
28.68316813342011,1.4070825621379046,0.1418402715102841,9.920190839707214
24.537511066398174,1.4112675263095478,0.09123578716013414,15.468354800650056
20.991037201085547,1.4130245760106095,0.05797885329678147,24.371378453755128
17.9571449437164,1.4137400534239282,0.0365931859858744,38.63397010497135
15.36174946671828,1.4140263716918413,0.02300913107869516,61.455009615775126
13.141473626117564,1.4141398556280922,0.01443844508692664,97.94266952668829
11.242100350620865,1.4141846023629692,0.009050437696334318,156.25593477492848
9.617248711152964,1.4142021967947536,0.005669794531803958,249.42741555482732
8.22724134170047,1.4142091046006682,0.003550838973768252,398.27463735982064
7.0381355549315545,1.414211814532042,0.0022234282429463184,636.0501262042241
6.020894493336129,1.414212877184639,0.0013921213347529457,1015.8689777106345
5.150678076168125,1.4142132937905814,0.0008715868646994345,1622.572977024236
4.406236427773573,1.4142134570983562,0.0005456741381572913,2591.6812951298552
3.769390975388361,1.4142135211101818,0.0003416254698549044,4139.660669067878
3.2245905452963948,1.4142135462000778,0.0002138769576942915,6612.276336104925
2.7585316176291825,1.4142135560340772,0.00013389861565314158,10561.823579248456
2.359833466782194,1.4142135598884924,8.38276485890825e-05,16870.490627989246
2.018760254679039,1.4142135613992235,5.2480504807858416e-05,26947.40773887258
1.7269832906594351,1.4142135619913565,3.285552929419769e-05,43043.39611540234
1.4773776525985112,1.4142135622234482,2.0569266034832943e-05,68753.72022650462
1.263848202934298,1.414213562314422,1.287742559346019e-05,109821.14026212129
1.0811807510766078,1.4142135623500842,8.061934473127305e-06,175418.63768107467
0.9249147277217336,1.414213562364065,5.047187718706568e-06,280198.3284914322
0.7912342618981318,1.414213562369548,3.159800329880487e-06,447564.2175855579
0.6768750009458534,1.414213562371699,1.9781982646197855e-06,714899.80942002
0.5790443980602489,1.4142135623725438,1.2384543124531514e-06,1141918.2348125912
0.49535352089591705,1.4142135623728758,7.753363782393059e-07,1824000.0109170445
0.4237587160604064,1.4142135623730072,4.854006256914208e-07,2913497.6090287366
0.36251170499885316,1.414213562373059,3.038858664926616e-07,4653765.50313244
0.3101168926574779,1.4142135623730798,1.9024825045089052e-07,7433516.781475664
0.26529484644318974,1.4142135623730883,1.1910523252585803e-07,11873647.633961499
0.22695105366946686,1.4142135623730911,7.456602821819637e-08,18965923.171270374
0.19414919457438817,1.4142135623730936,4.6682185531883033e-08,30294501.98742758
0.1660882782627715,1.4142135623730943,2.922545964428747e-08,48389779.992716804
0.14208308325339222,1.4142135623730943,1.8296647438231962e-08,77293589.83099869
0.12154742500762872,1.4142135623730947,1.1454646450814923e-08,123462000.19752532
0.10397984184814901,1.4142135623730945,7.171200382611297e-09,197207369.3272154
0.08895134973108237,1.4142135623730954,4.489541911706816e-09,315001750.7767168
0.07609496685459875,1.4142135623730954,2.8106851462380728e-09,503156166.1276548
0.0650967523045817,1.4142135623730951,1.759634066318669e-09,803697535.4380196
0.05568813990945267,1.4142135623730954,1.1016218300746395e-09,1283755934.899435
0.04763938010401341,1.4142135623730954,6.896721588315168e-10,2050559159.5420341
0.040753929658717776,1.414213562373095,4.317704278655701e-10,3275383099.6813993
0.03486365227678084,1.4142135623730954,2.7031056135484273e-10,5231810238.137997
0.029824712862168912,1.4142135623730954,1.6922839728956129e-10,8356833634.447768
0.025514065200312873,1.4142135623730951,1.0594572009515227e-10,13348472794.398468
0.021826447283974874,1.414213562373095,6.632744500904315e-11,21321695147.163887
0.018671810912919206,1.4142135623730954,4.152442826227677e-11,34057387941.39762
0.015973122800602542,1.4142135623730954,2.5996454698126028e-11,54400247218.134705
0.013664483492953258,1.4142135623730954,1.6275100765416635e-11,86894304542.69093
0.011689518164985776,1.4142135623730951,1.0189048437394355e-11,138797412836.2032
0.01,1.4142135623730954,6.378889009894752e-12,221702174184.15765
