A,lambda_star,I,grad_fd,grad_kernel,grad_boundary,grad_total
1.4846938775510206,350.0000000000003,4.2518941869338835,21.2355230681052,21.228710491757862,0.0,21.228710491757862
1.4859202563189748,353.33333333333354,4.278200408518326,21.68270833506573,21.675718000938883,0.0,21.675718000938883
1.4871124115643288,356.66666666666674,4.304311441541138,22.140095393711977,22.13291635315118,0.0,22.13291635315118
1.4882716049382716,359.99999999999983,4.330236617082331,22.60813318509152,22.600753640302685,0.0,22.600753640302685
1.4893990404848076,363.3333333333331,4.35598519277512,23.087299863603004,23.07970707963746,0.0,23.07970707963746
1.490495867768595,366.66666666666674,4.381566369882646,23.578105318221027,23.570285523785614,0.0,23.570285523785614
1.4915631848064281,370.0000000000001,4.406989310842137,24.081093970074143,24.07303224536865,0.0,24.07303224536865
1.4926020408163265,373.3333333333332,4.432263157389492,24.596847883505696,24.5885280330834,0.0,24.5885280330834
1.4936134387970867,376.6666666666667,4.457397049389369,25.125990233937998,25.11739464214734,0.0,25.11739464214734
1.4945983379501386,380.0000000000003,4.4824001445104615,25.66918918301905,25.660298649088837,0.0,25.660298649088837
1.4955576559546315,383.3333333333337,4.507281638902931,26.227162220017686,26.217955769363016,0.0,26.217955769363016
1.4964922711058264,386.66666666666646,4.532050789055335,26.800681038998597,26.791135706485722,0.0,26.791135706485722
1.4974030243261014,390.0000000000004,4.556716935032965,27.39057703358871,27.38066761371921,0.0,27.38066761371921
1.4982907210571674,393.333333333333,4.5812895253285655,27.997747506523176,27.987446264330067,0.0,27.987446264330067
1.499156133041452,396.666666666667,4.6057781435917775,28.623162709658867,28.61243904476062,0.0,28.61243904476062
1.5,399.99999999999983,4.630192537545457,29.267873853023595,29.256693907568163,0.0,29.256693907568163
1.500823031213715,403.33333333333337,4.654542650448328,29.93302225006822,29.921348448825032,-1.0652414444770792e-09,29.92134844775979
1.5016259070142435,406.66666666666646,4.678838655526877,30.61984980071091,30.607640309609767,-3.6554759830332103e-09,30.60764030595429
1.502409280190363,410.0000000000004,4.7030909938722,31.329711057917393,31.31691914451061,-1.21979975145099e-08,31.316919132312613
1.5031737773152967,413.3333333333336,4.72731041639541,32.06408718030006,32.05066045683603,-3.9580683489700184e-08,32.050660417255344
1.5039200000000001,416.66666666666714,4.751508030542847,32.82460212995165,32.81048166818023,-1.2489054624565078e-07,32.81048154328968
1.5046485260770976,420.00000000000045,4.775695352626444,33.613041584192146,33.5981608917852,-3.832028390445222e-07,33.59816050858236
1.5053599107198214,423.3333333333332,4.799884366743657,34.43137501133482,34.415658976591004,-1.143357556619284e-06,34.415657833233446
1.5060546875,426.6666666666667,4.824087591580164,35.28178172194447,35.265145617965956,-3.3173469694387127e-06,35.26514230061899
1.506733369388859,430.0000000000002,4.848318156300092,36.16668106150807,36.14903048703131,-9.35958234373117e-06,36.14902112744897
1.507396449704142,433.3333333333336,4.872589886803583,37.0887667918873,37.07000021745228,-2.567911248035146e-05,37.0699745383398
1.5080444030068179,436.6666666666668,4.896917405201288,38.05104808291534,38.031064914216245,-6.851138042503065e-05,38.03099640283582
1.5086776859504132,439.99999999999955,4.92131623699647,39.05688311431694,39.03561120902961,-0.0001777484276461398,39.035433460601965
1.509296738085816,443.3333333333328,4.945802939331667,40.11002702244832,40.087476878638384,-0.000448446154509077,40.087028432483876
1.5099019826241926,446.66666666666725,4.970395201265905,41.21462655333764,41.191025757974316,-0.0011002147121949204,41.18992554326212
1.510493827160494,450.0000000000005,4.995111994068946,42.37511893894617,42.351284398653554,-0.0026248729932411667,42.34865952566032
1.5110726643598615,453.33333333333275,5.019973562468058,43.596213664092666,43.57410909765696,-0.006089812406292563,43.568019285250664
1.5116388726090895,456.66666666666646,5.045001173192853,44.881940286040184,44.86608535024246,-0.013739323704052136,44.852346026538406
1.5121928166351608,460.0000000000005,5.070217178841775,46.23562810802435,46.23555197484133,-0.03014349759740192,46.20540847724393
1.512734848092749,463.33333333333377,5.095642563339395,47.65573249720736,47.691488508275505,-0.0643116686337943,47.62717683964171
1.513265306122449,466.6666666666667,5.121297419268167,49.136641926319925,49.24628545958865,-0.13343038595330506,49.112855073635345
1.5137845178813945,470.00000000000074,5.1471906612352365,50.65792585972781,50.9121694629184,-0.26920895088581953,50.64296051203258
1.5142927990478081,473.333333333334,5.173323914443737,52.16883130726552,52.70896059986738,-0.5281958413652621,52.18076475850212
1.5147904543009438,476.6666666666665,5.199666422730603,53.59953826060262,54.66967229540493,-1.0077947880159859,53.661877507388944
1.5152777777777777,479.9999999999993,5.226122057360168,54.777267761281045,56.77524867788872,-1.8699146643283384,54.90533401356038
1.5157550535077289,483.3333333333329,5.252563158987033,55.50351662646425,59.11866081803397,-3.3739985985441185,55.744662219489854
1.5162225558266091,486.6666666666665,5.278640504739623,55.318839426703796,61.6647887742072,-5.920280759037374,55.74450801516983
1.5166805497709288,489.9999999999999,5.303978041773526,53.77645638869527,64.54405338769743,-10.102174092687294,54.44187929501014
1.5171292914536159,493.3333333333336,5.32764883576797,50.03704609055697,67.66941706893697,-16.76344846323029,50.905968605706676
1.5175690284221433,496.66666666666714,5.348812209873492,42.737718293333984,71.26710821579175,-27.051332354505263,44.21577586128649
1.518,499.9999999999998,5.365409345065868,30.910603430518318,75.10595508103478,-42.45135275786272,32.65460232317206
1.5184224376123854,503.33333333333263,5.375940607491752,12.060004209411538,79.58359201433463,-64.78474670345598,14.798845310878647
1.5188365650969529,506.66666666666595,5.377366075100545,-14.858096832514743,84.93302732677495,-96.14641995313767,-11.213392626362719
1.5192425990003846,510.0000000000008,5.3649698665827055,-53.43603304767739,89.54353051788598,-138.76289166700056,-49.219361149114576
1.5196407488615282,513.3333333333342,5.336669925978996,-103.91312391417326,95.71860704244023,-194.75749100473394,-99.03888396229371
1.5200312174817898,516.6666666666664,5.284617959819915,-168.74909296575913,100.61941249131598,-265.82530872402106,-165.20589623270507
1.520414201183432,520.0000000000006,5.207809095572718,-250.85993891292466,107.14572026873488,-352.8421955207139,-245.69647525197905
1.5207898900563919,523.333333333334,5.0958859842859585,-346.409271423139,111.39795801640938,-455.45705179313694,-344.05909377672754
1.5211584681941996,526.6666666666662,4.951332731812325,-457.9080332316581,117.26483825444876,-571.738912543262,-454.47407428881326
1.5215201139195444,530.0000000000008,4.768038226266549,-577.2781306885939,125.56280228871877,-697.9625888634073,-572.3997865746885
1.521875,533.3333333333337,4.53798783850438,-704.3846586025747,123.39766365441466,-828.6120900949417,-705.214426440527
1.5222232938544038,536.6666666666666,4.274039192163685,-827.6305504556716,127.679805025387,-956.6559039344144,-828.9760989090273
1.522565157750343,539.9999999999998,3.96545047855209,-942.3076105919857,122.92094011801022,-1074.1037831388246,-951.1828430208144
1.5229007489931876,543.3333333333336,3.633452832813748,-1042.3531553589357,122.88103772889122,-1172.798373070316,-1049.9173353414249
1.523230220107079,546.666666666666,3.2692018953661974,-1117.3309930649493,114.40004872104366,-1245.339287225719,-1130.9392385046754
1.5235537190082644,549.9999999999991,2.9002172773284056,-1163.7315788043447,110.05250084003353,-1285.9966743472241,-1175.9441735071905
1.5238713891711424,553.3333333333328,2.5281347866033603,-1177.4213139758433,111.1999191063798,-1291.4583636064124,-1180.2584445000325
1.5241833697873715,556.6666666666672,2.1546661619925596,-1156.8162915099479,90.80467090529103,-1261.2754864311235,-1170.4708155258324
1.5244897959183674,560.0000000000003,1.8077462072519221,-1106.1887142456412,84.42633791937043,-1197.9233982352023,-1113.497060315832
1.5247907986415041,563.3333333333326,1.4790894879416463,-1028.9809598485929,68.53739666235667,-1106.4664294146191,-1037.9290327522624
1.5250865051903115,566.6666666666674,1.1906699505836187,-928.1806781797167,60.197962319541304,-993.8894527920565,-933.6914904725153
1.5253770390889505,570.0000000000001,0.9325815860170494,-816.8086443601694,47.078565284178005,-868.2186349763537,-821.1400696921756
1.525662520281233,573.3333333333323,0.718518617700286,-696.276828122539,39.206670753085234,-737.5845840930383,-698.377913339953
1.5259430652544355,576.6666666666657,0.541313060356223,-579.8642066783603,37.319688971867286,-609.3780163532223,-572.058327381355
1.5262187871581452,580.0000000000009,0.39556769865578856,-467.2453457749798,23.16644279292744,-489.614719307792,-466.4482765148645
1.5264897959183674,583.3333333333337,0.2844191093764441,-368.3305357846046,18.712209633301757,-382.57393546850847,-363.8617258352067
1.5267561983471074,586.6666666666657,0.19799914227380588,-282.5971860349923,12.375188329385448,-290.7167212665418,-278.3415329371564
1.52701809824763,589.9999999999998,0.13567980932777776,-209.40657756558275,9.291868872309063,-214.8418325355641,-205.54996366325503
1.5272755965155915,593.3333333333336,0.08986507690601066,-152.10648239341756,5.962788811248475,-154.40535593733415,-148.44256712608566
1.5275287912362285,596.6666666666654,0.05862286966019242,-106.57924782081277,4.209294312275334,-107.91977125830077,-103.71047694602544
1.527777777777778,600.000000000001,0.03690337583168305,-73.29750170788849,2.5873373515847815,-73.35593756557995,-70.76860021399517
1.5280226488812918,603.333333333333,0.022896743947285317,-48.567195197076416,1.7234227439523566,-48.49149565701649,-46.76807291306414
1.5282634947470113,606.6666666666669,0.013854948784486152,-31.625638427977115,1.1990639946887272,-31.173989255039395,-29.974925260350666
1.5285004031174416,610.0000000000003,0.008071573265435067,-20.045721131330655,0.6356525454342352,-19.490191822558458,-18.85453927712422
1.528733459357278,613.3333333333328,0.004640543826499741,-12.218804926990224,0.4041007414256884,-11.850514460020475,-11.446413718594787
1.5289627465303142,616.666666666667,0.002564904622974782,-7.333416869732078,0.21084064616103138,-7.007386568209397,-6.796545922048366
1.5291883454734652,619.9999999999997,0.0014003240771922943,-4.22742989056085,0.12515707890585576,-4.029703976057265,-3.904546897151409
1.529410334868026,623.3333333333318,0.0007339453359172975,-2.402460712929689,0.06282520593026425,-2.253662172746497,-2.190836966816233
1.5296287913082844,626.6666666666683,0.00038034346207966425,-1.3097634761399677,0.03505111604472561,-1.2257544884184353,-1.1907033723737097
1.529843789367599,629.9999999999995,0.00019206165534433865,-0.7048194784622596,0.02110072606143143,-0.6483620251980988,-0.6272612991366674
1.53005540166205,633.333333333335,9.291239340711588e-05,-0.36919743923944476,0.008836805720625972,-0.33352733864920286,-0.3246905329285769
1.5302636989117624,636.6666666666677,4.451063040380592e-05,-0.18517095475426013,0.004743235143090482,-0.1668574026453075,-0.16211416750221702
1.53046875,640.0,2.0400476606078637e-05,-0.0918449586603258,0.00200172308803396,-0.08118206043162231,-0.07918033734358834
1.5306706220301216,643.3333333333325,9.269038600816722e-06,-0.04356511894436063,0.0009960136505154727,-0.03841276606125514,-0.03741675241073967
1.5308693803804867,646.6666666666648,4.023829965822279e-06,-0.02046079481182977,0.0004069824880831779,-0.017676341333870322,-0.017269358845787144
1.5310650887573964,649.9999999999991,1.7335466601435071e-06,-0.009178476868761918,0.00018963869631564105,-0.007910625467971704,-0.007720986771656063
1.5312578092461475,653.3333333333339,7.274267989391205e-07,-0.004081804167631219,0.00010069049745331922,-0.003442954370716611,-0.003342263873263292
1.5314476023602772,656.6666666666652,2.910592336028448e-07,-0.0017669590917442726,3.252299256386035e-05,-0.0014573170963643732,-0.0014247941038005127
1.5316345270890726,659.9999999999993,1.157730590596868e-07,-0.0007291808630768693,1.4748554773024237e-05,-0.0005999009433059084,-0.0005851523885328842
1.5318186409434105,663.3333333333317,4.3854411679943865e-08,-0.00029887948776658764,5.0114611387358375e-06,-0.00024016408413464824,-0.0002351526229959124
1.532,666.6666666666664,1.6532612943170716e-08,-0.00011664369860628491,2.088029686250761e-06,-9.350609915467047e-05,-9.141806946841972e-05
1.5321786589440856,669.9999999999994,5.927708775863897e-09,-4.5269520479691054e-05,6.929609343398886e-07,-3.540588960026032e-05,-3.471292866592043e-05
1.5323546711106755,673.3333333333334,2.1175760378267527e-09,-1.670777358942858e-05,2.693283833369511e-07,-1.3038123702848874e-05,-1.2768795319511922e-05
1.5325280885243515,676.6666666666666,7.365335047160326e-10,-6.139622412615747e-06,1.3412752503622336e-07,-4.6693778335386995e-06,-4.535250308502476e-06
1.5326989619377163,679.9999999999991,2.4308678749157325e-10,-2.199106289960107e-06,3.133114687740358e-08,-1.6263259243934822e-06,-1.5949947775160785e-06
1.5328673408685307,683.333333333334,7.999801988532304e-11,-7.455769728279155e-07,1.2039468780737955e-08,-5.508852056187545e-07,-5.388457368380165e-07
1.5330332736355925,686.6666666666673,2.4869538713309177e-11,-2.525055584460742e-07,3.2709397544504805e-09,-1.814762911938e-07,-1.782053514393495e-07
1.5331968073934048,690.0000000000002,7.637344203454575e-12,-8.107289018806233e-08,1.1363047991148226e-09,-5.814123366598321e-08,-5.700492886686839e-08
1.5333579881656805,693.3333333333325,2.125628165396593e-12,-2.600273450822471e-08,2.988844352037888e-10,-1.81156719557154e-08,-1.781678752051161e-08
1.5335168608777272,696.6666666666667,4.952002390583985e-13,-7.736445346662776e-09,8.828108510368889e-11,-5.4894748817941e-09,-5.401193796690411e-09
1.5336734693877552,700.0000000000006,0.0,-2.0269445398770226e-09,0.0,0.0,0.0
1.5338278565171493,703.3333333333334,0.0,-2.491515208493208e-10,0.0,0.0,0.0
1.5339800640797436,706.6666666666646,0.0,0.0,0.0,0.0,0.0
1.534130132910137,709.9999999999993,0.0,0.0,0.0,0.0,0.0
1.5342781028910821,713.3333333333309,0.0,0.0,0.0,0.0,0.0
1.5344240129799893,716.6666666666687,0.0,0.0,0.0,0.0,0.0
1.5345679012345679,719.9999999999984,0.0,0.0,0.0,0.0,0.0
1.534709804837648,723.3333333333347,0.0,0.0,0.0,0.0,0.0
1.534849760121202,726.6666666666648,0.0,0.0,0.0,0.0,0.0
1.534987802589604,729.9999999999974,0.0,0.0,0.0,0.0,0.0
1.5351239669421488,733.3333333333335,0.0,0.0,0.0,0.0,0.0
1.5352582870948588,736.6666666666645,0.0,0.0,0.0,0.0,0.0
1.5353907962016071,740.0000000000017,0.0,0.0,0.0,0.0,0.0
1.5355215266745763,743.333333333335,0.0,0.0,0.0,0.0,0.0
1.5356505102040816,746.6666666666649,0.0,0.0,0.0,0.0,0.0
1.535777777777778,750.0000000000023,0.0,0.0,0.0,0.0,0.0
