eta,theta_i_deg,cos_i,J_perp,J_parallel,det
0.67,22.85342065872519,0.9215014444439706,0.67,0.6394333450149496,0.4284203411600163
0.67,23.154122808237634,0.919450477034756,0.67,0.6385909219934295,0.42785591773559783
0.67,23.454824957750077,0.9173741842936263,0.67,0.637735751824068,0.42728295372212566
0.67,23.75552710726252,0.9152726234099614,0.67,0.6368677661930432,0.42670140334933904
0.67,24.056229256774962,0.9131458522691271,0.67,0.6359868958816217,0.4261112202406866
0.67,24.356931406287405,0.9109939294508799,0.67,0.6350930707674158,0.42551235741416865
0.67,24.65763355579985,0.9088169142277535,0.67,0.6341862198258122,0.42490476728329424
0.67,24.958335705312294,0.9066148665634268,0.67,0.6332662711315755,0.42428840165815557
0.67,25.259037854824737,0.904387847111072,0.67,0.632333151860636,0.4236632117466262
0.67,25.55974000433718,0.9021359172116837,0.67,0.6313867882920705,0.4230291481556873
0.67,25.860442153849622,0.8998591388923897,0.67,0.6304271058102807,0.4223861608928881
0.67,26.161144303362065,0.8975575748647421,0.67,0.6294540289073797,0.42173419936794443
0.67,26.461846452874507,0.8952312885229904,0.67,0.6284674811857932,0.42107321239448153
0.67,26.762548602386953,0.8928803439423353,0.67,0.6274673853610856,0.42040314819192737
0.67,27.063250751899396,0.8905048058771634,0.67,0.6264536632650158,0.4197239543875606
0.67,27.36395290141184,0.8881047397592642,0.67,0.6254262358488362,0.41903557801872027
0.67,27.66465505092428,0.8856802116960275,0.67,0.6243850231868393,0.4183379655351824
0.67,27.965357200436724,0.8832312884686225,0.67,0.6233299444801635,0.41763106280170964
0.67,28.266059349949167,0.8807580375301586,0.67,0.6222609180608669,0.4169148151007809
0.67,28.56676149946161,0.8782605270038273,0.67,0.6211778613962771,0.4161891671355057
0.67,28.86746364897406,0.8757388256810258,0.67,0.6200806910936287,0.4154540630327313
0.67,29.1681657984865,0.8731930030194625,0.67,0.6189693229049975,0.41470944634634843
0.67,29.468867947998945,0.8706231291412433,0.67,0.61784367173254,0.41395526006080186
0.67,29.769570097511384,0.868029274830941,0.67,0.6167036516340498,0.41319144659481344
0.67,30.07027224702383,0.8654115115336444,0.67,0.6155491758288427,0.41241794780532465
0.67,30.370974396536276,0.8627699113529917,0.67,0.6143801567039763,0.4116347049916642
0.67,30.671676546048715,0.8601045470491839,0.67,0.6131965058208214,0.41084165889995045
0.67,30.97237869556116,0.8574154920369803,0.67,0.6119981339219903,0.4100387497277336
0.67,31.2730808450736,0.8547028203836772,0.67,0.6107849509386365,0.40922591712888645
0.67,31.573782994586047,0.8519666068070669,0.67,0.6095568659981363,0.4084031002187514
0.67,31.874485144098486,0.8492069266733805,0.67,0.6083137874321644,0.4075702375795502
0.67,32.17518729361093,0.8464238559952115,0.67,0.6070556227851738,0.40672726726606645
0.67,32.47588944312338,0.8436174714294223,0.67,0.6057822788232935,0.4058741268116067
0.67,32.77659159263582,0.8407878502750327,0.67,0.6044936615436558,0.40501075323424945
0.67,33.077293742148264,0.8379350704710906,0.67,0.6031896761841652,0.4041370830433908
0.67,33.3779958916607,0.8350592105945259,0.67,0.6018702272337214,0.4032530522465934
0.67,33.67869804117315,0.8321603498579851,0.67,0.6005352184429097,0.4023585963567496
0.67,33.97940019068559,0.8292385681076506,0.67,0.5991845528351714,0.40145365039956493
0.67,34.280102340198034,0.8262939458210408,0.67,0.5978181327184675,0.40053814892137324
0.67,34.58080448971048,0.8233265641047932,0.67,0.5964358596974481,0.3996120259972903
0.67,34.88150663922292,0.8203365046924312,0.67,0.5950376346861431,0.39867521523971594
0.67,35.182208788735366,0.8173238499421122,0.67,0.5936233579211848,0.39772764980719394
0.67,35.482910938247805,0.814288682834359,0.67,0.5921929289755797,0.39676926241363847
